week,breaches,new_demand,waiting_list,breaches_delta,waiting_list_delta,new_demand_delta,scans_done,percent_breaches,capacity
2022-04-03,1257.3000000000002,1403.6000000000001,5802.500000000001,16.5,108.90000000000055,0.0,1372.8000000000009,0.2166824644549763,1394
2022-04-10,1251.8000000000002,1416.8000000000002,5833.3,-5.5,30.799999999999272,13.200000000000045,1831.5,0.21459551197435417,1394
2022-04-17,1239.7,1117.6000000000001,5418.6,-12.100000000000136,-414.6999999999998,-299.20000000000005,1429.9999999999998,0.22878603329273242,1394
2022-04-24,1218.8000000000002,1028.5,5106.200000000001,-20.899999999999864,-312.39999999999964,-89.10000000000014,1141.8000000000002,0.23869021973287377,1394
2022-05-01,1147.3000000000002,1173.7,4992.900000000001,-71.5,-113.30000000000018,145.20000000000005,1295.8000000000004,0.22978629654108837,1394
2022-05-08,1105.5,1076.9,4870.8,-41.80000000000018,-122.10000000000036,-96.79999999999995,987.7999999999997,0.22696476964769646,1394
2022-05-15,1058.2,1405.8000000000002,4959.900000000001,-47.299999999999955,89.10000000000036,328.9000000000001,1620.3000000000002,0.21335107562652472,1394
2022-05-22,940.5000000000001,1344.2,4745.400000000001,-117.69999999999993,-214.5,-61.600000000000136,1540.0000000000002,0.19819193324061196,1394
2022-05-29,805.2,1376.1000000000001,4549.6,-135.30000000000007,-195.80000000000018,31.90000000000009,1772.1000000000001,0.1769825918762089,1394
2022-06-05,617.1,889.9000000000001,4153.6,-188.10000000000002,-396.0,-486.20000000000005,930.5999999999999,0.14856991525423727,1394
2022-06-12,487.3,1313.4,4112.900000000001,-129.8,-40.69999999999982,423.5,1471.8000000000002,0.1184808772399037,1394
2022-06-19,452.1,1060.4,3954.5000000000005,-35.19999999999999,-158.4000000000001,-253.0,1177.0000000000005,0.11432545201668984,1394
2022-06-26,310.20000000000005,1293.6000000000001,3837.9,-141.89999999999998,-116.60000000000036,233.20000000000005,1032.8999999999999,0.08082545141874464,1394
2022-07-03,217.8,1405.8000000000002,4098.6,-92.40000000000003,260.7000000000003,112.20000000000005,1240.8000000000002,0.05314009661835749,1394
2022-07-10,246.40000000000003,1248.5,4263.6,28.600000000000023,165.0,-157.30000000000018,1354.1000000000004,0.057791537667698664,1394
2022-07-17,233.20000000000002,1221.0,4158.0,-13.200000000000017,-105.60000000000036,-27.5,1367.2999999999997,0.05608465608465609,1394
2022-07-24,192.50000000000003,1300.2,4011.7000000000003,-40.69999999999999,-146.29999999999973,79.20000000000005,1345.3,0.047984644913627646,1394
2022-07-31,152.9,1226.5,3966.6000000000004,-39.60000000000002,-45.09999999999991,-73.70000000000005,1411.3000000000002,0.038546866333887965,1394
2022-08-07,159.5,1135.2,3781.8,6.599999999999994,-184.80000000000018,-91.29999999999995,1126.3999999999999,0.04217568353694008,1394
2022-08-14,155.10000000000002,1196.8000000000002,3790.6000000000004,-4.399999999999977,8.800000000000182,61.600000000000136,1410.2000000000003,0.040917005223447475,1394
2022-08-21,145.20000000000002,1135.2,3577.2000000000003,-9.900000000000006,-213.4000000000001,-61.600000000000136,932.8,0.04059040590405904,1394
2022-08-28,130.9,1424.5000000000002,3779.6000000000004,-14.300000000000011,202.4000000000001,289.3000000000002,1364.0000000000002,0.034633294528521534,1394
2022-09-04,138.60000000000002,1102.2,3840.1000000000004,7.700000000000017,60.5,-322.3000000000002,1005.4000000000003,0.036092810083070755,1394
2022-09-11,148.5,1248.5,3936.9,9.899999999999977,96.79999999999973,146.29999999999995,1192.3999999999996,0.037720033528918694,1394
2022-09-18,158.4,1293.6000000000001,3993.0000000000005,9.900000000000006,56.100000000000364,45.100000000000136,1392.6000000000001,0.0396694214876033,1394
2022-09-25,216.70000000000002,1227.6000000000001,3894.0000000000005,58.30000000000001,-99.0,-66.0,1342.0000000000002,0.05564971751412429,1394
2022-10-02,170.5,1279.3000000000002,3779.6000000000004,-46.20000000000002,-114.40000000000009,51.700000000000045,1251.8000000000002,0.04511059371362049,1394
2022-10-09,220.00000000000003,1306.8000000000002,3807.1000000000004,49.50000000000003,27.5,27.5,1343.1000000000004,0.05778676683039584,1394
2022-10-16,166.10000000000002,1292.5,3770.8,-53.900000000000006,-36.30000000000018,-14.300000000000182,1450.9,0.04404900816802801,1394
2022-10-23,154.0,1225.4,3612.4,-12.100000000000023,-158.4000000000001,-67.09999999999991,1400.2999999999997,0.04263093788063337,1394
2022-10-30,115.50000000000001,1164.9,3437.5000000000005,-38.499999999999986,-174.89999999999964,-60.5,977.9000000000001,0.0336,1394
2022-11-06,100.10000000000001,1346.4,3624.5000000000005,-15.400000000000006,187.0,181.5,1236.4,0.027617602427921092,1394
2022-11-13,119.9,1377.2,3734.5000000000005,19.799999999999997,110.0,30.799999999999955,1313.4000000000003,0.0321060382916053,1394
2022-11-20,102.30000000000001,1387.1000000000001,3798.3,-17.599999999999994,63.79999999999973,9.900000000000091,1320.0000000000002,0.02693310165073849,1394
2022-11-27,91.30000000000001,1347.5,3865.4,-11.0,67.09999999999991,-39.600000000000136,1395.8999999999996,0.02361980648833239,1394
2022-12-04,52.800000000000004,1326.6000000000001,3817.0000000000005,-38.50000000000001,-48.399999999999636,-20.899999999999864,1106.6000000000001,0.0138328530259366,1394
2022-12-11,77.0,1400.3000000000002,4037.0000000000005,24.199999999999996,220.0,73.70000000000005,1357.4,0.019073569482288825,1394
2022-12-18,90.2,1392.6000000000001,4079.9000000000005,13.200000000000003,42.90000000000009,-7.7000000000000455,1604.9000000000003,0.022108385009436505,1394
