,breaches
2023-09-24,1001.0000000000001
2023-10-01,720.5000000000001
2023-10-08,688.6
2023-10-15,869.0000000000001
2023-10-22,787.6
2023-10-29,882.2
2023-11-05,951.5000000000001
2023-11-12,1062.6000000000001
2023-11-19,1302.4
2023-11-26,1510.3000000000002
2023-12-03,1393.7
2023-12-10,1392.6000000000001
2023-12-17,1551.0000000000002
2023-12-24,1647.8000000000002
2023-12-31,1729.2
2024-01-07,1630.2
2024-01-14,1646.7
